,event_name,venue,neighborhood,start_date,start_time,end_date,end_time,all_day_event,category,event_cost,purchase_req,free,show_map_link,show_map,stage_time,event_website
126,The Harp Inn Irish Pub,The Harp Inn Irish Pub,Orange County,2020-03-09,21,2020-03-10,23,False,Open Mic,$0,No min.,"Free mics
",True,True,,
127,The Lexington,The Lexington,DTLA,2020-03-10,22,2020-03-10,0,False,Open Mic,,1 drink min.,,True,True,5 min.,
128,Westside Comedy Theater,Westside Comedy Theater,Westside/Santa Monica,2020-03-10,22,2020-03-10,0,False,Open Mic,$1,No min.,,True,True,3 min.,
129,Improv Jam @ The Clubhouse,The Clubhouse,Los Feliz/Silverlake/Echo Park,2020-03-10,22,2020-03-10,23,False,Improv Jam,$0,No min.,"Free mics
",True,True,,
130,ACME Comedy ,ACME Comedy ,Burbank/NoHo/Valley,2020-03-11,17,2020-03-13,19,False,Open Mic,,1 item min.,,True,True,5 min.,http://acmeopenmic.eventbrite.com/
131,Flappers Burbank,Flappers Comedy Club,Burbank/NoHo/Valley,2020-03-11,18,2020-03-11,19,False,Open Mic,$0,No min.,"Free mics
",True,True,2 min.,
132,The Cinema Bar,The Cinema Bar,Westside/Santa Monica,2020-03-11,18,2020-03-11,20,False,Open Mic,,1 item min.,,True,True,5 min.,
133,The Green Room,The Green Room,Orange County,2020-03-11,18,2020-03-11,22,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/gr
134,Brite Star Tavern,Brite Star Tavern,San Gabriel Valley,2020-03-11,19,2020-03-11,21,False,Open Mic,$0,No min.,"Free mics
",True,True,10 min.,
135,Equal Parts,Equal Parts,Hollywood/East Hollywood,2020-03-11,19,2020-03-11,21,False,Open Mic,,1 item min.,,True,True,3 min.,
136,ArtBarLA,ArtBarLA,Westside/Santa Monica,2020-03-11,19,2020-03-11,21,False,Open Mic,,1 item min.,,True,True,5 min.,https://slotted.co/motorboatincomedy
137,The Library: A Coffee House,The Library: A Coffee House,Long Beach,2020-03-11,19,2020-03-11,21,False,Open Mic,,1 item min.,,True,True,6 min.,
138,Relentless Brewing,Relentless Brewing,Highland Park/Glendale,2020-03-11,20,2020-03-11,22,False,Open Mic,$0,No min.,"Free mics
",True,True,6 min.,
139,1739 Public House,1739 Public House,Los Feliz/Silverlake/Echo Park,2020-03-11,20,2020-03-11,22,False,Open Mic,,1 item min.,,True,True,4 min.,
140,Challenge Mic @ Copper Still Bar,The Copper Still Bar,Koreatown/Mid-City,2020-03-11,20,2020-03-11,22,False,Improvised stand-up mic,$0,No min.,"Free mics
",True,True,,
141,The Barkley,The Barkley,Pasadena,2020-03-11,20,2020-03-11,22,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
142,Geeky Teas & Games,Geeky Teas & Games,Burbank/NoHo/Valley,2020-03-11,20,2020-03-11,22,False,Open Mic,$5,No min.,,True,True,5 min.,
143,Flappers Bar,Flappers Comedy Club,Burbank/NoHo/Valley,2020-03-08,20,2020-03-14,23,False,Open Mic,,1 item min.,,True,True,3 min.,
144,Second City Hollywood,Second City Hollywood,Hollywood/East Hollywood,2020-03-11,21,2020-03-11,23,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,bit.ly/2DFks0W
145,Close The Gap Mic,Yard Theater,Hollywood/East Hollywood,2020-03-11,22,2020-03-11,23,False,Open Mic,"Free for women/non-binary, $5 for men",No min.,"Free mics
",True,True,5 min.,
146,Berkshire House,Berkshire House,WeHo/Fairfax/Beverly Hills,2020-03-11,22,2020-03-11,23,False,Open Mic,,1 item min.,,True,True,4 min.,
147,Improv Jam ,UCB Sunset Inner Sanctum,Hollywood/East Hollywood,2020-03-11,22,2020-03-11,23,False,Improv Jam,$0,No min.,"Free mics
",True,True,,
148,Fox Coffee House,Fox Coffee House,Long Beach,2020-03-12,18,2020-03-12,20,False,Mixed Mic,$0,No min.,"Free mics
",True,True,,
149,Oh Yes It's Ladies' Mic @ Flappers Burbank,Flappers Comedy Club,Burbank/NoHo/Valley,2020-03-12,18,2020-03-12,20,False,Open Mic,,1 item min.,,True,True,3 min.,
150,The Rec Room,The Rec Room,Orange County,2020-03-12,18,2020-03-12,20,False,Open Mic,$0,No min.,"Free mics
",True,True,4 min.,
